Language,Brill,TnT,SVMTool,Stanford Tagger,HMM,BiLSTM (Plank),BiLSTM (Yasunaga),Flair,Meta-BiLSTM,BERT-BPEmb,Avg.
Arabic,28062.00,27817.00,43866.00,173724.00,38603.00,47665.00,100837.00,1094848.00,1083905.00,1467638.00,410696.50
Chinese,28062.00,27817.00,43866.00,173724.00,38603.00,47665.00,100837.00,1094848.00,1083905.00,1467638.00,410696.50
English,28062.00,27817.00,43866.00,173724.00,38603.00,47665.00,100837.00,1094848.00,1083905.00,1467638.00,410696.50
Spanish,28062.00,27817.00,43866.00,173724.00,38603.00,47665.00,100837.00,1094848.00,1083905.00,1467638.00,410696.50
Amharic,28062.00,27817.00,43866.00,0.00,38603.00,47665.00,100837.00,1094848.00,1083905.00,1467638.00,393324.10
Danish,28062.00,27817.00,43866.00,0.00,38603.00,47665.00,100837.00,1094848.00,1083905.00,1467638.00,393324.10
Hindi,28062.00,27817.00,43866.00,0.00,38603.00,47665.00,100837.00,1094848.00,1083905.00,1467638.00,393324.10
Russian,28062.00,27817.00,43866.00,0.00,38603.00,47665.00,100837.00,1094848.00,1083905.00,1467638.00,393324.10
Turkish,28062.00,27817.00,43866.00,0.00,38603.00,47665.00,100837.00,1094848.00,1083905.00,1467638.00,393324.10
Vietnamese,28062.00,27817.00,43866.00,0.00,38603.00,47665.00,100837.00,1094848.00,1083905.00,1467638.00,393324.10
Avg. (4 lang.),28062.00,27817.00,43866.00,173724.00,38603.00,47665.00,100837.00,1094848.00,1083905.00,1467638.00
Average (all),28062.00,27817.00,43866.00,69489.60,38603.00,47665.00,100837.00,1094848.00,1083905.00,1467638.00
Std. dev. (all),0.00,0.00,0.00,89710.69,0.00,0.00,0.00,0.00,0.00,0.00
